"cartera";"especie";"sec_id";"rubro_altair";"valor_nominal";"valor_contable";"fecha_emision";"fecha_incorporacion_tenencia";"fecha_vencimiento";"tipo_valoracion";"nomb";"ddate";"mat";"isin";"tc";"ocig";"gros";"rnm";"partition_date"
TRD;ARN38D;;"1250405";8118.0;4241655.0;;"2020-09-08";"2038-01-09";"1";;;;;;;;;"2024-03-27"
TRD;ARN41E;;"1250405";151942.0;58289663.51;;"2020-09-08";"2041-07-09";"2";;;;;;;;;"2024-03-27"
TRD;AR30DR;;"1250405";77966.0;45464302.83;;"2020-09-08";"2030-07-09";"2";;;;;;;;;"2024-03-27"
TRD;AR30D5;;"1250405";2191.0;1160488.27;;"2020-09-08";"2029-07-09";"2";;;;;;;;;"2024-03-27"
TRD;AS30D;;"1455453";50000.0;27434250.2;;"2020-09-28";"2030-07-09";"1";;;;;;;;;"2024-03-27"
TRD;AS30D;;"1250405";88931.0;48795106.08;;"2020-09-28";"2030-07-09";"2";;;;;;;;;"2024-03-27"
ALC;PAP0CD;;"1210350";115366.0;20281342.8;;"2017-08-01";"2038-12-31";"2";;;;;;;;;"2024-03-27"
ALC;PARPCD;;"1210350";37888.0;7019699.2;;"2017-08-01";"2038-12-31";"2";;;;;;;;;"2024-03-27"
ALC;DICP;;"3219064";1200000.0;362850048;;"2005-11-30";"2033-12-31";"2";;;;;;;;;"2024-03-27"
TRD;DICP;;"1210005";1200000.0;362850048;;"2023-01-30";"2033-12-31";"2";;;;;;;;;"2024-03-27"
ALC;DICPCD;;"1210350";477443.0;144366846.22;;"2017-08-01";"2033-12-31";"2";;;;;;;;;"2024-03-27"
ALC;DIP0CD;;"1210350";56448.0;18006912;;"2017-08-01";"2038-12-31";"2";;;;;;;;;"2024-03-27"
ALC;RIOPN2;;"3651802";60000000;-46911150;;"1901-01-01";"2027-03-27";"2";;;;;;;;;"2024-03-27"
ALC;RIOPN2;;"3650802";60000000;-51480000000;;"1901-01-01";"2027-03-27";"2";;;;;;;;;"2024-03-27"
ALC;RIOPN3;;"3651802";100000000;-1248604500;;"1901-01-01";"2027-07-03";"2";;;;;;;;;"2024-03-27"
ALC;RIOPN3;;"3650802";100000000;-85800000000;;"1901-01-01";"2027-07-03";"2";;;;;;;;;"2024-03-27"
TRD;TVPP;;"1210005";17255.0;1225.11;;"2005-11-30";"2035-12-15";"2";;;;;;;;;"2024-03-27"
ALC;TVPPCD;;"1210350";1737512.0;123363.35;;"2017-08-01";"2035-12-15";"2";;;;;;;;;"2024-03-27"
TRD;TX26;;"1210005";77262285;1216880988.75;;"2023-01-06";"2026-11-09";"1";;;;;;;;;"2024-03-27"
TRD;TX26;;"3219082";20000000;-315000000;;"2023-01-06";"2026-11-09";"1";;;;;;;;;"2024-03-27"
ALC;TX26;;"3219064";50000000;787500000;;"1901-01-01";"2026-11-09";"1";;;;;;;;;"2024-03-27"
INV;TECHO1;;"1214551";1410105.0;827731.64;;"2021-10-25";"2025-10-25";"2";;;;;;;;;"2024-03-27"
INV;PLZC6O;;"1214541";765360.0;600624532.01;;"2021-02-24";"2024-08-24";"2";;;;;;;;;"2024-03-27"
INV;TLCAO;;"1214559";3532800.0;2766041088;;"2021-12-10";"2025-05-10";"2";;;;;;;;;"2024-03-27"
INV;MTCIO;;"1214544";4774835.0;3739252512.56;;"2021-06-25";"2024-06-25";"2";;;;;;;;;"2024-03-27"
INV;PNC10O;;"1214558";4171300.0;3291435544.17;;"2021-04-09";"2025-04-09";"2";;;;;;;;;"2024-03-27"
TRD;T1X4;;"1210005";23929594;320519818.96;;"2022-10-21";"2024-07-26";"1";;;;;;;;;"2024-03-27"
TRD;TB24;;"1210005";1752933332;2340165998.22;;"2022-04-18";"2024-04-18";"2";;;;;;;;;"2024-03-27"
TRD;TV24;;"1250433";1396897.0;1167805892;;"2022-12-21";"2024-04-30";"1";;;;;;;;;"2024-03-27"
ALC;TV24;;"1250435";831847.0;695424092;;"1901-01-01";"2024-04-30";"1";;;;;;;;;"2024-03-27"
INV;RB54O;;"1214546";400000000;107920000;;"2022-05-24";"2024-05-24";"2";;;;;;;;;"2024-03-27"
INV;CS37O;;"1257302";4877607.0;4954185.43;;"2022-06-15";"2025-03-15";"2";;;;;;;;;"2024-03-27"
TRD;LMS4O;;"1250434";233777.0;187021600;;"2022-09-07";"2025-09-07";"2";;;;;;;;;"2024-03-27"
ALC;TB27C;;"1210416";5037500000;5335502425.34;;"2023-01-20";"2027-11-23";"2";;;;;;;;;"2024-03-27"
ALC;TB27C;;"1210448";10462500000;11081428116.76;;"2023-01-20";"2027-11-23";"2";;;;;;;;;"2024-03-27"
ALC;TB27C;;"1210413";1800000000;1947663270;;"2023-01-20";"2027-11-23";"1";;;;;;;;;"2024-03-27"
INV;TTC5O;;"1214564";3600000000;4325400000;;"2023-01-16";"2024-07-16";"2";;;;;;;;;"2024-03-27"
INV;LOC1O;;"1214565";576000000;627609600;;"2023-02-22";"2024-08-22";"2";;;;;;;;;"2024-03-27"
INV;MGCGO;;"1214556";3652746873;4442512534.37;;"2023-03-06";"2024-07-11";"2";;;;;;;;;"2024-03-27"
TRD;MGCGO;;"1210013";400000000;486778000;;"2023-03-06";"2024-07-11";"2";;;;;;;;;"2024-03-27"
ALC;T2X5P;;"1711432";1365101359;4800175186.66;;"2023-03-14";"2025-02-14";"2";;;;;;;;;"2024-03-27"
ALC;T2X5P;;"1711431";4102700000;14426532219.37;;"2023-03-14";"2025-02-14";"2";;;;;;;;;"2024-03-27"
ALC;T2X5P;;"1210414";39488713869;138856168590.31;;"2023-03-14";"2025-02-14";"2";;;;;;;;;"2024-03-27"
ALC;T2X5P;;"1210447";85000000000;298889813695.09;;"2023-03-14";"2025-02-14";"2";;;;;;;;;"2024-03-27"
ALC;T2X5P;;"1711429";2112220052;7427306562.65;;"2023-03-14";"2025-02-14";"2";;;;;;;;;"2024-03-27"
TRD;T2X5P;;"1210005";299744238;1371329888.85;;"2023-03-14";"2025-02-14";"1";;;;;;;;;"2024-03-27"
TRD;T3X4P;;"1210005";161639238;615643447.73;;"2023-03-14";"2024-04-14";"1";;;;;;;;;"2024-03-27"
ALC;T4X4P;;"3219064";28100000;130524500;;"2023-03-14";"2024-10-14";"1";;;;;;;;;"2024-03-27"
TRD;T4X4P;;"1210005";684164529;3177944237.21;;"2023-03-14";"2024-10-14";"1";;;;;;;;;"2024-03-27"
INV;PNQCO;;"1214539";7738523799;7916411242.11;;"2023-03-14";"2025-03-14";"2";;;;;;;;;"2024-03-27"
TRD;PNQCO;;"1210013";490000000;508302743.13;;"2023-03-14";"2025-03-14";"2";;;;;;;;;"2024-03-27"
ALC;PT2X5;;"1210375";193500000000;0.0;;"2023-03-15";"2025-02-01";"2";;;;;;;;;"2024-03-27"
ALC;PT2X5;;"1210375";193500000000;0.0;;"2023-03-15";"2025-02-01";"2";;;;;;;;;"2024-03-27"
ALC;TY27P;;"1210416";5000000000;5699398645;;"2022-05-30";"2027-05-23";"2";;;;;;;;;"2024-03-27"
ALC;TY27P;;"1210446";41470000000;47270812355.71;;"2022-05-30";"2027-05-23";"2";;;;;;;;;"2024-03-27"
INV;PNOCO;;"1214539";1000000000;1144400000;;"2022-08-04";"2024-08-04";"2";;;;;;;;;"2024-03-27"
TRD;RCCNO;;"1210013";560000000;694016504.72;;;;"2";;;;;;;;;"2024-03-27"
INV;BSCPO;;"1214562";2000000000;2303800000;;;;"2";;;;;;;;;"2024-03-27"
INV;VWCAO;;"1214570";1000000000;1218600000;;;;"2";;;;;;;;;"2024-03-27"
ALC;PT4X5;;"1210375";3000000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;PT4X5;;"1210375";3000000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;BPOB7;;"12583022";2773506.0;2168216.05;;;;"2";;;;;;;;;"2024-03-27"
INV;TTC6O;;"1214564";4227575000;5100991995;;;;"2";;;;;;;;;"2024-03-27"
TRD;TTC6O;;"1210013";500000000;609292744.5;;;;"2";;;;;;;;;"2024-03-27"
INV;LDCEO;;"1214545";1400000000;1216600000;;;;"2";;;;;;;;;"2024-03-27"
INV;RCCKO;;"1214550";1691935484;1882785806.6;;;;"2";;;;;;;;;"2024-03-27"
ALC;T3X5C;;"1210447";143500000000;416422650000;;;;"2";;;;;;;;;"2024-03-27"
ALC;PZX26;;"1210375";40600000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
TRD;PZX26;;"1210375";12100000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;PZX26;;"1210375";40600000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
TRD;PZX26;;"1210375";12100000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
INV;T542O;;"1214540";600000000;744900000;;;;"2";;;;;;;;;"2024-03-27"
ALC;TZX26;;"1210393";40600000000;64290100000;;;;"2";;;;;;;;;"2024-03-27"
TRD;TZX26;;"1210005";70000000;120190000;;;;"2";;;;;;;;;"2024-03-27"
TRD;TDG24;;"1210086";590660.0;558173700;;;;"1";;;;;;;;;"2024-03-27"
ALC;TDG24;;"1751369";15000000;13026009769.5;;;;"2";;;;;;;;;"2024-03-27"
ALC;TDG24;;"1210415";16500000;14328610746.45;;;;"2";;;;;;;;;"2024-03-27"
ALC;TDG24;;"1751368";60000000;52104039078;;;;"2";;;;;;;;;"2024-03-27"
TRD;TZX25;;"1210005";250000000;381562500;;;;"1";;;;;;;;;"2024-03-27"
INV;PNSCO;;"1214539";1000000000;1135000000;;;;"2";;;;;;;;;"2024-03-27"
INV;RCCLO;;"1214550";2708064515;3022741611.64;;;;"2";;;;;;;;;"2024-03-27"
TRD;RCCLO;;"1210013";650000000;725237500;;;;"2";;;;;;;;;"2024-03-27"
TRD;T6X4P;;"1210005";3984518989;11672091222.99;;;;"1";;;;;;;;;"2024-03-27"
TRD;X20Y4;;"1210005";1880718878;3362725353.86;;;;"1";;;;;;;;;"2024-03-27"
ALC;X20Y4;;"1411060";500000000;894000000;;;;"1";;;;;;;;;"2024-03-27"
INV;BSCOO;;"1214562";303758199;364084577.32;;;;"2";;;;;;;;;"2024-03-27"
TRD;TDJ24;;"1210086";503889.0;499353999;;;;"1";;;;;;;;;"2024-03-27"
ALC;PDG24;;"1210375";91500000;0.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;PDG24;;"1210375";91500000;0.0;;;;"2";;;;;;;;;"2024-03-27"
TRD;T2V4C;;"1250433";162070.0;143594020;;;;"1";;;;;;;;;"2024-03-27"
ALC;BA37X;;"1250401";2663.0;1167072.64;;;;"2";;;;;;;;;"2024-03-27"
INV;MGCJO;;"1257702";5000000.0;5013000.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;PT3X5;;"1210375";143500000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;PT3X5;;"1210375";143500000000;0.0;;;;"2";;;;;;;;;"2024-03-27"
ALC;V23N4;;"1250581";1398504.0;1199100684.62;;;;"2";;;;;;;;;"2024-03-27"
ALC;V23N4;;"1250581";1398504.0;1199100684.62;;;;"2";;;;;;;;;"2024-03-27"
ALC;BB37X;;"1250401";16340.0;6415449.46;;;;"2";;;;;;;;;"2024-03-27"
TRD;"94";;"1411063";500000000;512500000;;;;"2";;;;;;;;;"2024-03-27"
TRD;MGCKO;;"1210013";1000000000;1053640000;;;;"2";;;;;;;;;"2024-03-27"
ALC;V16N4;;"1250581";18180297;15588090258.76;;;;"2";;;;;;;;;"2024-03-27"
ALC;V16N4;;"1250581";18180297;15588090258.76;;;;"2";;;;;;;;;"2024-03-27"
INV;RCCMO;;"1257402";5000000.0;5060000.0;;;;"2";;;;;;;;;"2024-03-27"
INV;TN60O;;"1214540";1524300000;1744866210;;;;"2";;;;;;;;;"2024-03-27"
TRD;TN60O;;"1210013";2475276000;2865874552.8;;;;"1";;;;;;;;;"2024-03-27"
ALC;N08S4;;"1411162";1800373019457;1676399333337.19;;;;"2";;;;;;;;;"2024-03-27"
INV;TN59O;;"1214540";1402483464;1636137209.1;;;;"2";;;;;;;;;"2024-03-27"
TRD;TN59O;;"1210013";608580.0;717521.45;;;;"2";;;;;;;;;"2024-03-27"
INV;TYCYO;;"1214554";600000000;677340000;;;;"2";;;;;;;;;"2024-03-27"
TRD;TYCYO;;"1210013";300000000;340181923.5;;;;"2";;;;;;;;;"2024-03-27"
INV;MDSVS;;"1210161";975334666;617289310.11;;;;"2";;;;;;;;;"2024-03-27"
ALC;TG25C;;"1210447";48000000000;148315200000;;;;"2";;;;;;;;;"2024-03-27"
INV;TN61O;;"1214540";2000000000;2285400000;;;;"2";;;;;;;;;"2024-03-27"
TRD;TN61O;;"1210013";400000000;448320000;;;;"2";;;;;;;;;"2024-03-27"
INV;TYCXO;;"1214554";500000000;523400000;;;;"2";;;;;;;;;"2024-03-27"
TRD;T5X4;;"1210005";16000000;60739310.24;;;;"1";;;;;;;;;"2024-03-27"
ALC;BPOC7;;"12583022";4160259.0;2901101.44;;;;"2";;;;;;;;;"2024-03-27"
ALC;BPOA7;;"12583022";2773506.0;2440487.97;;;;"2";;;;;;;;;"2024-03-27"
INV;MC49T;;"1214569";800000000;813840000;;;;"2";;;;;;;;;"2024-03-27"
INV;GN40O;;"1257602";2173525.0;2257857.77;;;;"2";;;;;;;;;"2024-03-27"
INV;BVCEO;;"1214568";200000000;204720000;;;;"2";;;;;;;;;"2024-03-27"
INV;CS41O;;"1214566";415680000;515526336;;;;"2";;;;;;;;;"2024-03-27"
TRD;CS41O;;"1210013";265680000;330365366.25;;;;"2";;;;;;;;;"2024-03-27"
ALC;T4X5P;;"1210175";3000000000;5362800000;;;;"2";;;;;;;;;"2024-03-27"
ALC;N13M4;;"1210408";1800373019457;1676399333337.19;;;;"2";;;;;;;;;"2024-03-27"
TRD;DA24C;;"1210086";36214.0;30238690;;;;"1";;;;;;;;;"2024-03-27"
ALC;BNCRO;;"1411299";3000000000;3009000000;;;;"2";;;;;;;;;"2024-03-27"
INV;BAL25;;"1214545";3200000000;3241280000;;;;"2";;;;;;;;;"2024-03-27"
TRD;BAL25;;"1210005";500000000;507766203;;;;"2";;;;;;;;;"2024-03-27"
TRD;TZX28;;"1210005";290000000;436450000;;;;"1";;;;;;;;;"2024-03-27"
TRD;CS43O;;"1210013";200000000;233000000;;;;"1";;;;;;;;;"2024-03-27"
ALC;BPOD7;;"12583022";4160259.0;2874380.77;;;;"2";;;;;;;;;"2024-03-27"
TRD;S31E5;;"1210005";630000000;645750000;;;;"1";;;;;;;;;"2024-03-27"
TRD;S31E5;;"3219082";500000000;512500000;;;;"1";;;;;;;;;"2024-03-27"
ALC;V22N4;;"1250581";3081161.0;2641838896.79;;;;"2";;;;;;;;;"2024-03-27"
ALC;V22N4;;"1250581";3081161.0;2641838896.79;;;;"2";;;;;;;;;"2024-03-27"
TRD;TV25D;;"1250433";165597.0;147878121;;;;"1";;;;;;;;;"2024-03-27"
