transaction_currency;currency_decription;more_detail
012;DINAR ARGELINO;DZD
032;PESO ARGENTINO;ARS
036;DOLAR AUSTRALIANO;AUD
040;CHELIN AUSTRIACO;ATS
044;DOLAR DE LAS BAHAMAS;BSD
050;TAKA;BDT
056;FRANCO BELGA;BEF
068;BOLIVIANO;BOB
124;DOLAR CANADIENSE;CAD
132;ESCUDO DE CABO VERDE;CVE
136;DOLAR DE LAS CAIMANES;KYD
144;RUPIA DE SRI LANKA;LKR
152;PESO CHILENO;CLP
156;YUAN RENMIMBIS;CNY
170;PESO COLOMBIANO;COP
191;KUNA;HRK
203;CORONA CHECA;CZK
208;CORONA DANESA;DKK
214;PESO DOMINICANO;DOP
218;SUCRE;ECS
250;FRANCO FRANCES;FRF
280;MARCO ALEMAN;DEM
300;DRACMA GRIEGO;GRD
320;QUETZAL;GTQ
344;DÃ“LAR HONKONÃ‰S;HKD
348;FORINTO;HUF
352;CORONA ISLANDESA;ISK
356;RUPIA INDIA;INR
360;RUPIA[INDONESIA];IDR
376;SEQUEL;ILS
380;LIRA ITALIANA;ITL
392;YEN;JPY
400;DINAR JORDANO;JOD
410;WON[DE LA REPUBLICA DE COREA];KRW
414;DINAR KUWAITI;KWD
422;LIBRA LIBANESA;LBP
434;DINAR LIBIO;LYD
440;LITAS;LTL
442;FRANCOS LUXEMBURGUESES;LUF
446;PATACA;MOP
458;RINGIT;MYR
478;UGUIYA;MRO
484;PESO MEXICANO;MXN
504;DIRHAM (MARROQUI;MAD
512;RIAL OMANI;OMR
516;DOLARES DE NAMIBIA;NAD
524;RUPIA DEL NEPAL;NPR
528;FLORIN HOLANDES;NLG
554;DOLAR NEOZELANDES;NZD
578;CORONA NORUEGA;NOK
590;BALBOA;PAB
600;GUARANI;PYG
604;NUEVO SOL;PEN
608;PESO FILIPINO;PHP
620;ESCUDO PORTUGUES;PTE
634;RIAL DE QATAR;QAR
643;RUBLOS;RUB
678;DOBRA;STD
682;RIYAL[SAUDI];SAR
702;DÃ“LAR SINGAPURENSE;SGD
703;CORONA ESLOVACA;SKK
710;RAND;ZAR
724;PESETA;ESP
752;CORONA SUECA;SEK
756;FRANCO SUIZO;CHF
760;LIBRA SIRIA;SYP
764;BAT;THB
784;DIRHAM DE EMIRATOS ARABES UND.;AED
788;DINAR TUNECINO;TND
792;LIBRA TURCA;TRL
818;LIBRA EGIPCIA;EGP
826;LIBRA ESTERLINA;GBP
834;CHELIN DE TANZANIA;TZS
840;DOLAR ESTADOUNIDENSE;USD
858;PESO URUGUAYO;UYU
862;BOLIVAR VENEZOLANO;VEB
901;DOLAR[TAIWANES];TWD
935;CHINO EXTERNO;CNH
936;CEDI;GHS
937;BOLIVAR;VEF
943;METICAL;MZN
946;LEU[RUMANO];RON
949;LIRA[TURCA];TRY
950;FRANCO[CFA(BEAC;XAF
952;FRANCO CFA-BCEAO;XOF
970;UNIDAD DE VALOR REAL;COU
973;KUANZA;AOA
975;LEVA;BGN
978;EURO;EUR
979;MEXICAN UNIDAD DE INVERSION;MXV
980;GRIVNA;UAH
985;ZLOTY;PLN
986;REAL;BRL
990;UNIDAD FOMENTO CHILE;CLF    